weekly_incidence,weekly_hospitalisations
4368.0,1204
23580.0,3910
79380.0,9486
176862.0,16028
231594.0,18071
206922.0,12394
171060.0,7798
147942.0,5720
119496.0,4465
88650.0,3322
55854.0,2035
39096.0,1650
27888.0,1221
