date,H_synthetic_seiqhrs,H_synthetic_dwomoh_scenario1,H_synthetic_dwomoh_scenario3,H_synthetic_dwomoh_scenario5
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666
2020-03-14,0.032860781444444445,0.0,0.03299967033333333,0.032860781444444445
2020-03-15,0.05692907598392821,0.0,0.05733902419318747,0.05692907598392821
2020-03-16,0.11031495944059395,0.0,0.11119110954342518,0.11031495944059395
2020-03-17,0.1621871868932127,0.0,0.1639650879924099,0.1621871868932127
2020-03-18,0.21092200853534826,0.0,0.21401587633645455,0.21092200853534826
2020-03-19,0.2582750462561846,0.0,0.26306465890902486,0.2582750462561846
2020-03-20,0.29595214459851105,0.0,0.30279816231189116,0.29595214459851105
2020-03-21,0.3025609799014664,0.0,0.3117362097180028,0.3025609799014664
2020-03-22,0.30898243414807575,0.0,0.3204953193814145,0.30898243414807575
2020-03-23,0.30022182017466614,0.0,0.31407907359636883,0.30022182017466614
2020-03-24,0.29170959688211423,0.0,0.30779127964036573,0.29170959688211423
2020-03-25,0.2834387216212947,0.0,0.3016293659360471,0.2834387216212947
2020-03-26,0.275402351424111,0.0,0.29559081238846796,0.275402351424111
2020-03-27,0.2675938373419167,0.0,0.28967314935442956,0.2675938373419167
2020-03-28,0.2600067189444598,0.0,0.28387395663244674,0.2600067189444598
2020-03-29,0.2526347189747994,0.0,0.2781908624729356,0.2526347189747994
2020-03-30,1.487138404822439,0.0,1.514288209274884,1.487138404822439
2020-03-31,2.686640067754823,0.0,2.7256391591352735,2.686640067754823
2020-04-01,3.8521321240945627,0.0,3.912739129476667,3.8521321240945627
2020-04-02,7.577912185405136,0.0,7.669406952907153,7.577912185405136
2020-04-03,11.348054782382297,0.0,11.500867112979481,11.348054782382297
2020-04-04,13.76963543235787,0.0,14.013955616901729,13.76963543235787
2020-04-05,16.767556731718877,0.0,17.121732641854926,16.767556731718877
2020-04-06,19.950477628714687,0.0,20.437292654479506,19.950477628714687
2020-04-07,21.08315280878694,0.0,21.726475885074542,21.08315280878694
2020-04-08,22.233713121108753,0.0,23.039849951013377,22.233713121108753
2020-04-09,23.35165146649847,0.0,24.32693055709441,23.35165146649847
2020-04-10,24.932892779281673,0.0,26.083244092599436,24.932892779281673
2020-04-11,26.559300977916184,0.0,27.89439661751263,26.559300977916184
2020-04-12,27.506262107235216,0.0,29.035956933997284,27.506262107235216
2020-04-13,30.334707273665735,0.0,32.062996797422514,30.334707273665735
2020-04-14,33.082957213735334,0.0,35.02943598873075,33.082957213735334
2020-04-15,35.19661904511914,0.0,37.37982105337894,35.19661904511914
2020-04-16,40.68535198304939,0.0,43.11815192611759,40.68535198304939
2020-04-17,46.06012892060076,0.0,48.783269343883475,46.06012892060076
2020-04-18,50.22418086516702,0.0,53.27663902393818,50.22418086516702
2020-04-19,54.27016897302311,0.0,57.68005243153952,54.27016897302311
2020-04-20,57.693107388178504,0.0,61.4869771381383,57.693107388178504
2020-04-21,57.22399484251598,0.0,61.42268804963441,57.22399484251598
2020-04-22,56.72651643136004,0.0,61.3180193478721,56.72651643136004
2020-04-23,60.50980974864316,0.0,65.48211275715863,60.50980974864316
2020-04-24,64.1858349217281,0.0,69.56284193249179,64.1858349217281
2020-04-25,67.68263333646439,0.0,73.4868758074952,67.68263333646439
2020-04-26,82.90861996277717,0.0,89.16068472094182,82.90861996277717
2020-04-27,97.70290246466229,0.0,104.5207074281792,97.70290246466229
2020-04-28,107.76105433141944,0.0,115.25655919335601,107.76105433141944
2020-04-29,124.96569294504121,0.0,133.20914823474806,124.96569294504121
2020-04-30,141.68252649019192,0.0,150.80233039310102,141.68252649019192
2020-05-01,147.89705242592916,0.0,158.01496758181048,147.89705242592916
2020-05-02,160.78704387016418,0.0,171.93487602744884,160.78704387016418
2020-05-03,176.89489725944844,0.0,189.1594443017187,176.89489725944844
2020-05-04,185.11437618936293,0.0,198.60751384187606,185.11437618936293
2020-05-05,194.52580730163663,0.0,209.29143510841473,194.52580730163663
2020-05-06,210.12039504095517,0.0,226.21146662165998,210.12039504095517
2020-05-07,221.5128276667142,0.0,239.032762826417,221.5128276667142
2020-05-08,227.9989160257594,0.0,247.01404616850664,227.9989160257594
2020-05-09,241.9844369198039,0.0,262.5188793073033,241.9844369198039
2020-05-10,261.8050914215805,0.0,283.9449757643912,261.8050914215805
2020-05-11,276.4554353265941,0.0,300.33379315081606,276.4554353265941
2020-05-12,304.9870630371632,0.0,330.6911766853712,304.9870630371632
2020-05-13,336.47473027367005,0.0,364.20581208018893,336.47473027367005
2020-05-14,365.94129077908457,0.0,395.9211585142889,365.94129077908457
2020-05-15,396.6790492216122,0.0,429.10823735682106,396.6790492216122
2020-05-16,423.8036298487396,0.0,458.8892515154164,423.8036298487396
2020-05-17,433.5791441672269,0.0,471.4940563223798,433.5791441672269
2020-05-18,445.35749222035054,0.0,486.12651571016477,445.35749222035054
2020-05-19,453.3918874362445,0.0,497.0560364801474,453.3918874362445
2020-05-20,454.3734825340174,0.0,500.94175064880955,454.3734825340174
2020-05-21,455.86891302140236,0.0,505.29134034133887,455.86891302140236
2020-05-22,461.0669433986964,0.0,513.2988522051335,461.0669433986964
2020-05-23,463.8342600982596,0.0,518.8627221097341,463.8342600982596
2020-05-24,466.52311475381083,0.0,524.3152045628962,466.52311475381083
2020-05-25,469.45239867524305,0.0,529.9751961835586,469.45239867524305
2020-05-26,475.16362827766534,0.0,538.3868760171736,475.16362827766534
2020-05-27,478.42459340656416,0.0,544.3418225377558,478.42459340656416
2020-05-28,479.3814333549206,0.0,547.9658856724175,479.3814333549206
2020-05-29,483.98947724511277,0.0,555.1957291937505,483.98947724511277
2020-05-30,488.773535411308,0.0,562.5874995050187,488.773535411308
2020-05-31,492.80528396745717,0.0,569.2146215341781,492.80528396745717
2020-06-01,500.769386566529,0.0,579.7557367049473,500.769386566529
2020-06-02,511.12934872867777,0.0,592.7074877357096,511.12934872867777
2020-06-03,518.0839070428474,0.0,602.2882808935547,518.0839070428474
2020-06-04,526.9979486436188,0.0,613.8339353468208,526.9979486436188
2020-06-05,537.7325827459588,0.0,627.2217816713098,537.7325827459588
2020-06-06,548.0661898843366,0.0,640.2449395910422,548.0661898843366
2020-06-07,560.4568070883778,0.0,655.3573767543163,560.4568070883778
2020-06-08,575.2961117185629,0.0,672.9672662503178,575.2961117185629
2020-06-09,588.4063425294471,0.0,688.9162762994517,588.4063425294471
2020-06-10,600.4465241469909,0.0,703.8476573428509,600.4465241469909
2020-06-11,611.3186624639119,0.0,717.6534487559983,611.3186624639119
2020-06-12,619.5108751442908,0.0,728.8111845956619,619.5108751442908
2020-06-13,627.5074797567589,0.0,739.782211685184,627.5074797567589
2020-06-14,635.7556890657012,0.0,751.0119345593332,635.7556890657012
2020-06-15,650.6917026279766,0.0,768.9385075187477,650.6917026279766
2020-06-16,663.7459003716393,0.0,785.0478610980273,663.7459003716393
2020-06-17,678.7483043005335,0.0,803.1530422960409,678.7483043005335
2020-06-18,698.2153433705594,0.0,825.7857617496102,698.2153433705594
2020-06-19,715.067097942235,0.0,845.9020458055838,715.067097942235
2020-06-20,725.1727194733411,0.0,859.3472729470061,725.1727194733411
2020-06-21,741.3001485052052,0.0,878.8316629323405,741.3001485052052
2020-06-22,759.228648047287,0.0,900.1843130500675,759.228648047287
2020-06-23,772.7704854766222,0.0,917.2311544766874,772.7704854766222
2020-06-24,794.5217029879152,0.0,942.5300552215848,794.5217029879152
2020-06-25,820.3262057639726,0.0,971.9924775393275,820.3262057639726
2020-06-26,844.3624038816433,0.0,999.8284019773353,844.3624038816433
2020-06-27,870.6571009499813,0.0,1030.0470573319974,870.6571009499813
2020-06-28,898.1379281589417,0.0,1061.59240852123,898.1379281589417
2020-06-29,923.8812550262194,0.0,1091.5478953862983,923.8812550262194
2020-06-30,950.7413450959187,0.0,1122.7503466612015,950.7413450959187
2020-07-01,975.5782013210617,0.0,1152.066465059454,975.5782013210617
2020-07-02,997.1791886801428,0.0,1178.2640145502528,997.1791886801428
2020-07-03,1030.7843874631867,0.0,1216.5537615303733,1030.7843874631867
2020-07-04,1067.1384409032123,0.0,1257.7786228663629,1067.1384409032123
2020-07-05,1097.651743745927,0.0,1293.3681715478754,1097.651743745927
2020-07-06,1155.7415661216344,0.0,1356.6868919611513,1155.7415661216344
2020-07-07,1223.2710278466768,0.0,1429.8246521885387,1223.2710278466768
2020-07-08,1280.1424857567567,0.0,1492.7548772131477,1280.1424857567567
2020-07-09,1340.5914607752804,0.0,1559.6152529774135,1340.5914607752804
2020-07-10,1403.76651915422,0.0,1629.5770987281614,1403.76651915422
2020-07-11,1428.768701276435,0.0,1661.7566570519186,1428.768701276435
2020-07-12,1450.7319936953581,0.0,1690.961987697537,1450.7319936953581
2020-07-13,1462.7575583951543,0.0,1710.267634048803,1462.7575583951543
2020-07-14,1462.3654942294531,0.0,1717.1101189406922,1462.3654942294531
2020-07-15,1461.129546303476,0.0,1722.9606187903923,1461.129546303476
2020-07-16,1467.720308015785,0.0,1736.4856595868782,1467.720308015785
2020-07-17,1474.3858677809785,0.0,1750.001598708794,1474.3858677809785
2020-07-18,1483.1707715080527,0.0,1765.555285036329,1483.1707715080527
2020-07-19,1503.114929197464,0.0,1792.205923318731,1503.114929197464
2020-07-20,1520.5886079235697,0.0,1816.41802168586,1520.5886079235697
2020-07-21,1552.6951867897371,0.0,1855.2737325036737,1552.6951867897371
2020-07-22,1574.1231108532331,0.0,1883.583227205838,1574.1231108532331
2020-07-23,1600.9601532239255,0.0,1917.3426387188206,1600.9601532239255
2020-07-24,1633.9246152240835,0.0,1957.314527573717,1633.9246152240835
2020-07-25,1661.282765430512,0.0,1991.8145213408873,1661.282765430512
2020-07-26,1692.6785602368807,0.0,2030.4371661561706,1692.6785602368807
2020-07-27,1730.1658531815808,0.0,2075.2682607859006,1730.1658531815808
2020-07-28,1768.3285979941934,0.0,2120.9401800973174,1768.3285979941934
2020-07-29,1792.654310178023,0.0,2152.942757631942,1792.654310178023
2020-07-30,1823.5869793540571,0.0,2191.6013172715575,1823.5869793540571
2020-07-31,1849.5576110552406,0.0,2225.4009410520707,1849.5576110552406
2020-08-01,1871.4602278257955,0.0,2255.1922371337487,1871.4602278257955
2020-08-02,1878.628503887425,0.0,2270.273784688623,1878.628503887425
2020-08-03,1905.9968703388079,0.0,2305.4567363127226,1905.9968703388079
2020-08-04,1937.5542583944464,0.0,2344.9003329855573,1937.5542583944464
2020-08-05,1944.568562916706,0.0,2359.9059441972595,1944.568562916706
2020-08-06,1965.7189900678916,0.0,2388.946146373738,1965.7189900678916
2020-08-07,1994.7747367610111,0.0,2425.909970091488,1994.7747367610111
2020-08-08,1995.4449959084893,0.0,2434.5721195237834,1995.4449959084893
2020-08-09,1994.3662511223963,0.0,2441.330854630117,1994.3662511223963
2020-08-10,1994.7180921094812,0.0,2449.3542813465433,1994.7180921094812
2020-08-11,1978.8749573091839,0.0,2441.032080825261,1978.8749573091839
2020-08-12,1960.1476913721015,0.0,2429.543155594197,1960.1476913721015
2020-08-13,1938.8130683952234,0.0,2415.145902785362,1938.8130683952234
2020-08-14,1906.1433484015324,0.0,2389.0968798103645,1906.1433484015324
2020-08-15,1877.124916681391,0.0,2366.294352544541,1877.124916681391
2020-08-16,1842.4359145112328,0.0,2337.4549935246905,1842.4359145112328
2020-08-17,1811.8371202176922,0.0,2312.299658794425,1811.8371202176922
2020-08-18,1779.5858970066197,0.0,2285.1279283312856,1779.5858970066197
2020-08-19,1754.0940963823894,0.0,2264.3451699342377,1754.0940963823894
2020-08-20,1730.8417343369952,0.0,2245.4951444547582,1730.8417343369952
2020-08-21,1706.056982481275,0.0,2224.830825671706,1706.056982481275
2020-08-22,1678.6766221705254,0.0,2201.2818686712067,1678.6766221705254
2020-08-23,1653.047580318774,0.0,2179.179356609087,1653.047580318774
2020-08-24,1621.97520159527,0.0,2151.349331975898,1621.97520159527
2020-08-25,1589.722154880583,0.0,2122.0147916465935,1589.722154880583
2020-08-26,1556.883582454743,0.0,2091.7675223610827,1556.883582454743
2020-08-27,1519.9960857945975,0.0,2057.145796752269,1519.9960857945975
2020-08-28,1490.256131174507,0.0,2029.3188571400303,1490.256131174507
2020-08-29,1458.659396858288,0.0,1999.349006736902,1458.659396858288
2020-08-30,1424.3785283311,0.0,1966.3991461454775,1424.3785283311
2020-08-31,1397.8946291544285,0.0,1940.9339345141238,1397.8946291544285
2020-09-01,1372.1616309726217,0.0,1915.9785308172834,1372.1616309726217
2020-09-02,1343.5565767380035,0.0,1887.9210621455982,1343.5565767380035
2020-09-03,1316.2958981813388,0.0,1860.9586311574103,1316.2958981813388
2020-09-04,1290.5748114000014,0.0,1835.3026487725379,1290.5748114000014
2020-09-05,1266.2046641738984,0.0,1810.781960177361,1266.2046641738984
2020-09-06,1244.952153160714,0.0,1789.178837039975,1244.952153160714
2020-09-07,1223.248883667571,0.0,1766.9548703417788,1223.248883667571
2020-09-08,1204.3976361007374,0.0,1747.4124892342745,1204.3976361007374
2020-09-09,1188.3375467593078,0.0,1730.5180089638852,1188.3375467593078
2020-09-10,1167.1611442844526,0.0,1708.390085805057,1167.1611442844526
2020-09-11,1145.2834920822925,0.0,1685.4034921330585,1145.2834920822925
2020-09-12,1123.6861394324874,0.0,1662.537085009323,1123.6861394324874
2020-09-13,1100.3811389700622,0.0,1637.808458325595,1100.3811389700622
2020-09-14,1075.205241160315,0.0,1611.0432266411108,1075.205241160315
2020-09-15,1051.373158434436,0.0,1585.443829006599,1051.373158434436
2020-09-16,1027.901789451053,0.0,1560.0419256808625,1027.901789451053
2020-09-17,1005.1325735192112,0.0,1535.1852295379554,1005.1325735192112
2020-09-18,983.5922690805294,0.0,1511.4094923166892,983.5922690805294
2020-09-19,962.5960326681653,0.0,1488.0430734572642,962.5960326681653
2020-09-20,942.3517715930411,0.0,1465.3011118294592,942.3517715930411
2020-09-21,924.0148316798628,0.0,1444.3477726035446,924.0148316798628
2020-09-22,904.844467768896,0.0,1422.460581285865,904.844467768896
2020-09-23,885.9793100252049,0.0,1400.7732333898498,885.9793100252049
2020-09-24,869.6507049037384,0.0,1381.521728094163,869.6507049037384
2020-09-25,851.1233999071895,0.0,1359.9939670324982,851.1233999071895
2020-09-26,831.736401688969,0.0,1337.5121870111802,831.736401688969
2020-09-27,815.5840852284227,0.0,1318.1654872798974,815.5840852284227
2020-09-28,800.5030705604116,0.0,1299.8194375542944,800.5030705604116
2020-09-29,784.7879829437976,0.0,1280.7790050414003,784.7879829437976
2020-09-30,770.451800320754,0.0,1263.0530911318526,770.451800320754
2020-10-01,758.2987597750557,0.0,1247.4587127857396,758.2987597750557
2020-10-02,743.5236290986275,0.0,1229.209863796686,743.5236290986275
2020-10-03,729.4390860434494,0.0,1211.598019416313,729.4390860434494
2020-10-04,715.3972169670964,0.0,1193.9820936191627,715.3972169670964
2020-10-05,702.0401452627437,0.0,1177.0055014476343,702.0401452627437
2020-10-06,686.6684547928927,0.0,1157.9754435831962,686.6684547928927
2020-10-07,673.2559329383917,0.0,1140.849696623925,673.2559329383917
2020-10-08,659.323697836117,0.0,1123.166803351114,659.323697836117
2020-10-09,645.6081516413506,0.0,1105.6595843780547,645.6081516413506
2020-10-10,631.9648172156062,0.0,1088.1861894105812,631.9648172156062
2020-10-11,619.0783137970795,0.0,1071.4326079662096,619.0783137970795
2020-10-12,605.7938495371154,0.0,1054.2510962032331,605.7938495371154
2020-10-13,593.29437453122,0.0,1037.8218878591522,593.29437453122
2020-10-14,580.9709652234405,0.0,1021.5432553183606,580.9709652234405
2020-10-15,568.7436296030843,0.0,1005.3371840864032,568.7436296030843
2020-10-16,557.3313103486701,0.0,989.9238881685072,557.3313103486701
2020-10-17,545.9058992088057,0.0,974.4824963772958,545.9058992088057
2020-10-18,534.8527673792032,0.0,959.3985711859715,534.8527673792032
2020-10-19,524.6313595823871,0.0,945.1349561918473,524.6313595823871
