date,daily_incidence,daily_deaths,daily_recoveries
2020-10-10,24,0,17
2020-10-11,25,0,21
2020-10-12,22,0,37
2020-10-13,24,0,14
2020-10-14,30,0,37
2020-10-15,73,0,30
2020-10-16,57,0,46
2020-10-17,88,0,88
2020-10-18,0,0,0
2020-10-19,0,0,0
2020-10-20,0,0,0
2020-10-21,222,0,0
2020-10-22,0,0,0
2020-10-23,0,0,0
2020-10-24,0,0,0
2020-10-25,202,0,324
2020-10-26,72,0,60
2020-10-27,64,0,33
2020-10-28,65,0,46
2020-10-29,72,0,45
2020-10-30,0,0,0
2020-10-31,303,0,112
2020-11-01,125,0,74
2020-11-02,135,0,75
2020-11-03,116,0,90
2020-11-04,100,0,55
2020-11-05,187,0,60
2020-11-06,99,0,52
2020-11-07,270,0,102
2020-11-08,228,0,74
2020-11-09,149,0,77
2020-11-10,55,0,83
2020-11-11,101,0,149
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,0,0,0
2020-11-17,559,0,953
2020-11-18,156,0,124
2020-11-19,61,0,194
2020-11-20,144,0,232
2020-11-21,85,0,198
2020-11-22,41,0,57
2020-11-23,37,0,78
2020-11-24,99,0,93
2020-11-25,97,0,60
2020-11-26,93,0,92
2020-11-27,98,0,97
2020-11-28,91,0,133
2020-11-29,98,0,97
2020-11-30,193,0,147
2020-12-01,95,0,95
2020-12-02,69,0,44
2020-12-03,85,0,91
2020-12-04,115,0,165
2020-12-05,114,0,105
2020-12-06,104,0,94
2020-12-07,98,0,102
2020-12-08,84,0,56
2020-12-09,74,0,25
2020-12-10,133,0,49
2020-12-11,103,0,77
2020-12-12,103,0,78
2020-12-13,95,0,113
2020-12-14,50,0,105
2020-12-15,85,0,65
2020-12-16,61,0,114
2020-12-17,101,0,92
2020-12-18,80,0,138
2020-12-19,79,0,102
2020-12-20,68,0,75
2020-12-21,77,0,56
2020-12-22,54,0,91
2020-12-23,93,0,92
2020-12-24,80,0,121
2020-12-25,0,0,0
2020-12-26,157,0,161
2020-12-27,74,0,132
2020-12-28,70,0,85
2020-12-29,70,0,79
2020-12-30,114,0,70
2020-12-31,93,0,100
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,254,0,236
2021-01-04,128,0,88
2021-01-05,140,0,76
2021-01-06,235,0,105
2021-01-07,164,0,88
2021-01-08,170,0,122
2021-01-09,178,0,162
2021-01-10,171,0,131
2021-01-11,160,0,190
2021-01-12,0,0,0
2021-01-13,411,0,173
2021-01-14,284,0,183
2021-01-15,326,0,197
2021-01-16,346,0,110
2021-01-17,377,0,387
2021-01-18,644,0,320
2021-01-19,0,0,0
2021-01-20,626,0,249
2021-01-21,1346,0,642
2021-01-22,643,0,553
2021-01-23,602,0,411
2021-01-24,0,0,0
2021-01-25,1119,0,992
2021-01-26,740,0,230
2021-01-27,788,0,367
2021-01-28,784,0,469
2021-01-29,786,0,364
2021-01-30,768,0,595
2021-01-31,771,0,488
2021-02-01,694,0,384
2021-02-02,791,0,768
2021-02-03,716,0,449
2021-02-04,759,0,694
2021-02-05,791,0,488
2021-02-06,670,0,434
2021-02-07,549,0,518
2021-02-08,788,0,212
2021-02-09,0,0,0
2021-02-10,1482,0,733
2021-02-11,653,0,985
2021-02-12,0,0,0
2021-02-13,0,0,0
2021-02-14,1768,0,1664
2021-02-15,413,0,566
2021-02-16,475,0,659
2021-02-17,485,0,1484
2021-02-18,592,0,502
2021-02-19,501,0,332
2021-02-20,0,0,0
2021-02-21,907,0,1291
2021-02-22,456,0,918
2021-02-23,451,0,957
2021-02-24,618,0,556
2021-02-25,400,0,563
2021-02-26,408,0,269
2021-02-27,316,0,469
2021-02-28,409,0,474
2021-03-01,486,0,535
2021-03-02,501,0,701
2021-03-03,345,0,437
2021-03-04,373,0,327
2021-03-05,271,0,347
2021-03-06,233,0,403
2021-03-07,100,0,433
2021-03-08,171,0,351
2021-03-09,230,0,298
2021-03-10,279,0,360
2021-03-11,217,0,450
2021-03-12,239,0,208
2021-03-13,190,0,260
2021-03-14,0,0,0
2021-03-15,580,0,832
2021-03-16,264,0,267
2021-03-17,220,0,231
2021-03-18,178,0,302
2021-03-19,102,0,196
2021-03-20,103,0,282
2021-03-21,104,0,367
2021-03-22,89,0,125
2021-03-23,71,0,269
2021-03-24,114,0,108
2021-03-25,0,0,0
2021-03-26,0,0,0
2021-03-27,256,0,819
2021-03-28,28,0,97
2021-03-29,63,0,92
2021-03-30,25,0,266
2021-03-31,105,0,154
2021-04-01,113,0,87
2021-04-02,38,0,64
2021-04-03,53,0,58
2021-04-04,32,0,77
2021-04-05,60,0,53
2021-04-06,66,0,61
2021-04-07,77,0,44
2021-04-08,0,0,0
2021-04-09,134,0,115
2021-04-10,60,0,76
2021-04-11,0,0,0
2021-04-12,59,0,88
2021-04-13,0,0,0
2021-04-14,113,0,120
2021-04-15,37,0,60
2021-04-16,69,0,52
2021-04-17,0,0,0
2021-04-18,136,0,58
2021-04-19,0,0,0
2021-04-20,91,0,103
2021-04-21,84,0,76
2021-04-22,71,0,55
2021-04-23,0,0,0
2021-04-24,98,0,104
2021-04-25,46,0,43
2021-04-26,43,0,43
2021-04-27,39,0,46
2021-04-28,0,0,0
2021-04-29,78,0,68
2021-04-30,55,0,50
2021-05-01,0,0,0
2021-05-02,78,0,81
2021-05-03,25,0,15
2021-05-04,0,0,0
2021-05-05,92,0,78
2021-05-06,59,0,127
2021-05-07,0,0,0
2021-05-08,67,0,81
2021-05-09,37,0,127
2021-05-10,23,0,22
2021-05-11,79,0,74
2021-05-12,0,0,0
2021-05-13,82,0,76
2021-05-14,26,0,37
2021-05-15,62,0,42
2021-05-16,0,0,0
2021-05-17,64,0,94
2021-05-18,62,0,33
2021-05-19,37,0,61
