date,daily_incidence,daily_deaths,daily_recoveries,I_proxy_D5,I_proxy_D7,I_proxy_D10,I_proxy_D14,I_proxy,observed_simple,observed_context,context_activity,gap_length,H_synthetic_seiqhrs
2020-03-12,2,0,0,2,2,2,2,2,1,1,1,0,0.0
2020-03-13,0,0,0,2,2,2,2,2,0,1,3,1,0.0166666666666666
2020-03-14,1,0,0,3,3,3,3,3,1,1,2,0,0.0328607814444444
2020-03-15,0,0,0,3,3,3,3,3,0,1,3,14,0.0569290759839282
2020-03-16,0,0,0,3,3,3,3,3,0,1,1,14,0.1103149594405939
2020-03-17,0,0,0,1,3,3,3,1,0,1,1,14,0.1621871868932127
2020-03-18,0,0,0,1,3,3,3,1,0,1,0,14,0.2109220085353482
2020-03-19,0,0,0,0,1,3,3,0,0,1,0,14,0.2582750462561846
2020-03-20,0,0,0,0,1,3,3,0,0,1,0,14,0.295952144598511
2020-03-21,0,0,0,0,0,3,3,0,0,1,0,14,0.3025609799014664
2020-03-22,0,0,0,0,0,1,3,0,0,1,0,14,0.3089824341480757
2020-03-23,0,0,0,0,0,1,3,0,0,1,0,14,0.3002218201746661
2020-03-24,0,0,0,0,0,0,3,0,0,1,0,14,0.2917095968821142
2020-03-25,0,0,0,0,0,0,3,0,0,1,0,14,0.2834387216212947
2020-03-26,0,0,0,0,0,0,1,0,0,0,149,14,0.275402351424111
2020-03-27,0,0,0,0,0,0,1,0,0,0,149,14,0.2675938373419167
2020-03-28,0,0,0,0,0,0,0,0,0,0,149,14,0.2600067189444598
2020-03-29,149,5,0,149,149,149,149,149,1,1,43,0,0.2526347189747994
2020-03-30,0,0,0,149,149,149,149,149,0,0,210,2,1.487138404822439
2020-03-31,0,0,0,149,149,149,149,149,0,0,210,2,2.686640067754823
2020-04-01,43,0,0,192,192,192,192,192,1,1,167,0,3.8521321240945623
2020-04-02,18,0,0,210,210,210,210,210,1,1,43,0,7.577912185405136
2020-04-03,0,0,0,61,210,210,210,61,0,0,137,3,11.348054782382295
2020-04-04,0,0,0,61,210,210,210,61,0,0,161,3,13.76963543235787
2020-04-05,0,0,0,61,61,210,210,61,0,0,118,3,16.767556731718877
