date,daily_incidence,daily_deaths,daily_recoveries,I_proxy_D5,I_proxy_D7,I_proxy_D10,I_proxy_D14,I_proxy,observed_simple,observed_context,context_activity,gap_length
2020-03-12,2,0,0,2,2,2,2,2,1,1,1,0
2020-03-13,0,0,0,2,2,2,2,2,0,1,3,1
2020-03-14,1,0,0,3,3,3,3,3,1,1,2,0
2020-03-15,0,0,0,3,3,3,3,3,0,1,3,14
2020-03-16,0,0,0,3,3,3,3,3,0,1,1,14
2020-03-17,0,0,0,1,3,3,3,1,0,1,1,14
2020-03-18,0,0,0,1,3,3,3,1,0,1,0,14
2020-03-19,0,0,0,0,1,3,3,0,0,1,0,14
2020-03-20,0,0,0,0,1,3,3,0,0,1,0,14
2020-03-21,0,0,0,0,0,3,3,0,0,1,0,14
2020-03-22,0,0,0,0,0,1,3,0,0,1,0,14
2020-03-23,0,0,0,0,0,1,3,0,0,1,0,14
2020-03-24,0,0,0,0,0,0,3,0,0,1,0,14
2020-03-25,0,0,0,0,0,0,3,0,0,1,0,14
2020-03-26,0,0,0,0,0,0,1,0,0,0,149,14
2020-03-27,0,0,0,0,0,0,1,0,0,0,149,14
2020-03-28,0,0,0,0,0,0,0,0,0,0,149,14
2020-03-29,149,5,0,149,149,149,149,149,1,1,43,0
2020-03-30,0,0,0,149,149,149,149,149,0,0,210,2
2020-03-31,0,0,0,149,149,149,149,149,0,0,210,2
2020-04-01,43,0,0,192,192,192,192,192,1,1,167,0
2020-04-02,18,0,0,210,210,210,210,210,1,1,43,0
2020-04-03,0,0,0,61,210,210,210,61,0,0,137,3
2020-04-04,0,0,0,61,210,210,210,61,0,0,161,3
2020-04-05,0,0,0,61,61,210,210,61,0,0,118,3
2020-04-06,76,0,0,94,137,286,286,94,1,1,24,0
2020-04-07,24,1,0,100,161,310,310,100,1,1,76,0
2020-04-08,0,0,0,100,118,161,310,100,0,0,100,4
2020-04-09,0,0,0,100,100,161,310,100,0,0,353,4
2020-04-10,0,0,0,100,100,161,310,100,0,0,277,4
2020-04-11,0,0,0,24,100,118,310,24,0,0,323,4
2020-04-12,253,0,0,253,353,353,414,253,1,1,70,0
2020-04-13,0,0,0,253,277,353,414,253,0,0,328,1
2020-04-14,70,0,0,323,323,423,484,323,1,1,258,0
2020-04-15,0,0,0,323,323,423,441,323,0,0,328,1
2020-04-16,5,2,0,328,328,352,428,328,1,1,70,0
2020-04-17,0,0,0,75,328,328,428,75,0,0,75,5
2020-04-18,0,0,0,75,328,328,428,75,0,1,5,5
2020-04-19,0,0,0,5,75,328,428,5,0,0,643,5
2020-04-20,0,0,0,5,75,328,352,5,0,0,638,5
2020-04-21,0,0,0,0,5,328,328,0,0,0,638,5
2020-04-22,638,2,0,638,643,713,966,638,1,1,271,0
2020-04-23,0,0,0,638,638,713,966,638,0,0,909,2
2020-04-24,0,0,0,638,638,643,966,638,0,0,1029,2
2020-04-25,271,1,0,909,909,914,1237,909,1,1,1162,0
2020-04-26,0,0,0,909,909,909,984,909,0,0,795,1
2020-04-27,120,5,0,391,1029,1029,1104,391,1,1,675,0
2020-04-28,404,1,0,795,1433,1433,1438,795,1,1,486,0
2020-04-29,0,0,0,795,795,1433,1438,795,0,0,1169,2
2020-04-30,0,0,0,524,795,1433,1433,524,0,0,1169,2
2020-05-01,95,1,0,619,890,1528,1528,619,1,1,954,0
