origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds,mean_Rt,country
45,-,persistence,-1,7.255605085025591,332.93333333333334,427.76800566038906,45,0.0,,ghana
45,-,moving_avg_7,-1,10.389641265124176,476.742857142857,634.9272367117096,45,0.0,,ghana
45,-,classical_sir,-1,31.35777709168986,1438.8943624573142,1747.9700214616296,45,0.0,,ghana
60,-,persistence,-1,9.365962191475344,1044.0666666666666,1130.2313922378903,60,0.0,,ghana
60,-,moving_avg_7,-1,3.608595610967512,402.26666666666654,478.9474485822024,60,0.0,,ghana
60,-,classical_sir,-1,33.57243098177638,3742.4725180871737,4512.501847408107,60,0.0,,ghana
75,-,persistence,-1,2.8109554408511537,360.6,414.5515649469919,75,0.0,,ghana
75,-,moving_avg_7,-1,2.8011557388150674,359.3428571428572,413.1016428761072,75,0.0,,ghana
75,-,classical_sir,-1,17.10448732277367,2194.2283534471685,2456.0224494397844,75,0.0,,ghana
90,-,persistence,-1,4.54491744756805,572.2,665.0271673648629,90,0.0,,ghana
90,-,moving_avg_7,-1,3.2574896411041,410.1142857142858,517.4577336579762,90,0.0,,ghana
90,-,classical_sir,-1,15.789825597108432,1987.9213012988764,2174.668008206801,90,0.0,,ghana
45,mask,pinn_split,1,7.761420589684457,356.14336751302085,433.9083622315641,12,218.1,1.220239520072937,ghana
45,daily,pinn_split,3,6.273481926580301,287.8672729492188,366.7427347904136,45,231.1,1.2434203624725342,ghana
45,daily,pinn_split,2,6.349097207711636,291.3369832356771,347.9161559491755,45,231.8,1.3043153285980225,ghana
45,daily,pinn_split,1,6.381182775675356,292.8092732747396,381.4704110483348,45,232.1,1.2329928874969482,ghana
45,mask,pinn_split,2,7.744346240016717,355.3598876953125,433.11777414443424,12,213.9,1.2152589559555054,ghana
45,mask,pinn_split,3,7.919047692752188,363.3763020833333,442.4158757732781,12,215.5,1.218898892402649,ghana
60,daily,pinn_split,2,8.080307699594705,900.748876953125,968.8042771150352,60,232.2,1.1783180236816406,ghana
60,daily,pinn_split,1,8.059922308813304,898.4764241536458,966.2202603619672,60,234.2,1.1764124631881714,ghana
60,mask,pinn_split,1,10.582199302543032,1179.6461832682292,1272.5104835244158,20,215.4,1.1774580478668213,ghana
60,daily,pinn_split,3,8.189539663701394,912.9254638671875,982.0929296315024,60,232.0,1.179907202720642,ghana
60,mask,pinn_split,2,10.568929624197407,1178.1669514973958,1270.7762485540684,20,214.8,1.1722584962844849,ghana
60,mask,pinn_split,3,10.814315081795462,1205.52119140625,1302.738396904708,20,215.4,1.1754233837127686,ghana
75,weekly,pinn_split,1,1.5265063388264162,195.82600911458331,233.2756425864067,11,216.4,1.0857003927230835,ghana
75,daily,pinn_split,1,1.229723921779535,157.7536376953125,208.3271250577148,75,243.9,1.0325673818588257,ghana
75,daily,pinn_split,2,2.030148790247584,260.43516845703124,311.03375539242785,75,242.6,1.0177093744277954,ghana
75,daily,pinn_split,3,1.2725536241822375,163.24799397786458,213.25061347412128,75,244.1,1.1263290643692017,ghana
75,weekly,pinn_split,2,1.61725109537949,207.46708984375,253.7279107682564,11,216.2,1.0888288021087646,ghana
75,weekly,pinn_split,3,1.5963169904935437,204.78158365885415,246.2968494816451,11,215.0,1.0884699821472168,ghana
75,mask,pinn_split,1,3.8848846323030792,498.3677001953125,541.9136408073105,31,224.0,0.9760895371437072,ghana
75,mask,pinn_split,2,4.153204767692039,532.7888224283854,579.860979736179,31,224.2,0.863286554813385,ghana
75,mask,pinn_split,3,1.9729772007512665,253.1009806315104,301.2521282358755,31,223.5,1.0066381692886353,ghana
90,daily,pinn_split,1,3.0330990418560813,381.86376139322914,485.1851919640862,90,248.1,1.0055757761001587,ghana
90,daily,pinn_split,2,3.500372273236464,440.6929361979167,559.0716783991159,90,245.5,0.9528455138206482,ghana
90,daily,pinn_split,3,2.67306131935148,336.53541666666666,424.1560839610158,90,247.1,0.9963977932929992,ghana
90,weekly,pinn_split,1,2.046379707923128,257.63690592447915,308.0807352182423,13,214.1,1.0692592859268188,ghana
90,weekly,pinn_split,2,2.0035310621827587,252.2423095703125,296.0053690544473,13,213.4,1.076943278312683,ghana
90,weekly,pinn_split,3,2.150675936529684,270.76768391927084,328.87841646797153,13,212.5,1.052988886833191,ghana
90,mask,pinn_split,1,2.6761795859653894,336.9280029296875,396.0340373910969,45,222.5,1.1526793241500854,ghana
90,mask,pinn_split,2,2.53351841974379,318.9671223958333,397.1032062101588,45,163.8,1.03533935546875,ghana
90,mask,pinn_split,3,2.460428127440317,309.76513671875,384.0885723344072,45,151.1,1.0424158573150637,ghana
