country,method,regime,origin,median,q25,q75,iqr
ghana,pinn_split,daily,45,6.349097207711636,6.311289567145968,6.365139991693496,0.05385042454752842
ghana,pinn_split,daily,60,8.080307699594705,8.070115004204006,8.13492368164805,0.06480867744404506
ghana,pinn_split,daily,75,1.2725536241822375,1.2511387729808863,1.6513512072149106,0.4002124342340243
ghana,pinn_split,daily,90,3.0330990418560813,2.8530801806037807,3.2667356575462727,0.41365547694249205
ghana,pinn_split,mask,45,7.761420589684457,7.7528834148505865,7.840234141218323,0.08735072636773644
ghana,pinn_split,mask,60,10.582199302543032,10.57556446337022,10.698257192169248,0.12269272879902715
ghana,pinn_split,mask,75,3.8848846323030792,2.9289309165271726,4.0190446999975595,1.090113783470387
ghana,pinn_split,mask,90,2.53351841974379,2.4969732735920536,2.6048490028545896,0.10787572926253608
ghana,pinn_split,weekly,75,1.5963169904935437,1.56141166465998,1.6067840429365168,0.04537237827653673
ghana,pinn_split,weekly,90,2.046379707923128,2.0249553850529436,2.098527822226406,0.07357243717346229
italy_primary,pinn_split,daily,45,3.5004664857917662,3.2216346241937854,4.218132070742765,0.9964974465489798
italy_primary,pinn_split,daily,60,2.1386657901624444,2.1276046623863043,2.393923821290706,0.26631915890440183
italy_primary,pinn_split,daily,75,0.5270061492351078,0.5163562196211393,0.5866682677587158,0.07031204813757652
italy_primary,pinn_split,sparse20,45,1.5912862993152408,1.556084658811304,2.4031397279874467,0.8470550691761427
italy_primary,pinn_split,sparse20,60,3.533266933174393,3.197577411910413,4.137563727282904,0.9399863153724914
italy_primary,pinn_split,sparse20,75,0.5224190086646111,0.5140317048262983,0.5326796016218689,0.01864789679557055
italy_primary,pinn_split,sparse30,45,2.1779250003926376,2.0480679833430186,2.217568652625958,0.1695006692829395
italy_primary,pinn_split,sparse30,60,2.4296177950434785,2.3395006643057967,2.7609538096600312,0.4214531453542345
italy_primary,pinn_split,sparse30,75,0.5241973195857967,0.5176732312611383,0.5332541933061338,0.015580962044995483
italy_primary,pinn_split,sparse40,45,2.190164624625686,2.135911561400616,2.4553501244660136,0.31943856306539775
italy_primary,pinn_split,sparse40,60,3.6693485458558777,3.484233018152437,3.9796105632060925,0.4953775450536555
italy_primary,pinn_split,sparse40,75,0.6257017450564166,0.5849738788969187,0.8367912438662067,0.2518173649692881
italy_primary,pinn_split,weekly,75,1.6812784263581149,1.5917488393831558,1.7412716215527222,0.14952278216956638
