origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
60,-,persistence,-1,9.365962191475344,1044.0666666666666,1130.2313922378903,60,0.0
60,-,moving_avg_7,-1,3.608595610967512,402.26666666666654,478.9474485822024,60,0.0
60,-,classical_sir,-1,33.57243098177638,3742.4725180871737,4512.501847408107,60,0.0
75,-,persistence,-1,2.8109554408511537,360.6,414.5515649469919,75,0.0
75,-,moving_avg_7,-1,2.8011557388150674,359.3428571428572,413.1016428761072,75,0.0
75,-,classical_sir,-1,17.10448732277367,2194.2283534471685,2456.0224494397844,75,0.0
60,daily,pinn_split,1,8.059923403864001,898.4765462239583,966.2203239434804,60,153.8
60,daily,pinn_split,2,8.080308283621743,900.7489420572916,968.804364282825,60,153.4
60,daily,pinn_split,3,8.189540393735191,912.9255452473958,982.0929544239254,60,154.7
60,mask,pinn_split,1,10.582197331451775,1179.6459635416666,1272.5101931013803,20,138.3
60,mask,pinn_split,2,10.568927507099392,1178.1667154947916,1270.775983575901,20,138.3
60,mask,pinn_split,3,10.8143163958563,1205.521337890625,1302.7385236606233,20,136.6
90,-,persistence,-1,4.54491744756805,572.2,665.0271673648629,90,0.0
90,-,moving_avg_7,-1,3.2574896411041,410.1142857142858,517.4577336579762,90,0.0
90,-,classical_sir,-1,15.789825597108432,1987.9213012988764,2174.668008206801,90,0.0
105,-,persistence,-1,6.469442084395355,878.6,1285.395269946175,105,0.0
105,-,moving_avg_7,-1,9.045353400493587,1228.4285714285716,1590.2897109098865,105,0.0
105,-,classical_sir,-1,13.448937471313211,1826.4691619694984,2204.263612447858,105,0.0
75,daily,pinn_split,1,1.2297481549590268,157.75674641927085,208.3302230349208,75,161.0
75,daily,pinn_split,2,2.030152152442644,260.4355997721354,311.03419576094007,75,153.6
75,daily,pinn_split,3,1.2725553687174105,163.2482177734375,213.2509555835955,75,153.1
60,daily,pinn_joint,1,14.776381450380667,1647.1908610026042,1824.4546861380404,60,939.2
60,daily,pinn_joint,2,13.665525813153716,1523.3586995442708,1677.640960446624,60,948.3
