mode,seed,date,Rt,I_pred
split,1,2020-03-12,1.105698585510254,20.61581039428711
split,1,2020-03-13,1.1153656244277954,21.286447525024414
split,1,2020-03-14,1.1253329515457153,22.000083923339844
split,1,2020-03-15,1.1356093883514404,22.761064529418945
split,1,2020-03-16,1.146201491355896,23.574487686157227
split,1,2020-03-17,1.157117247581482,24.445980072021484
split,1,2020-03-18,1.1683627367019653,25.38192367553711
split,1,2020-03-19,1.179944396018982,26.389657974243164
split,1,2020-03-20,1.1918673515319824,27.47739601135254
split,1,2020-03-21,1.2041362524032593,28.654855728149414
split,1,2020-03-22,1.2167545557022095,29.932579040527344
split,1,2020-03-23,1.229724407196045,31.323410034179688
split,1,2020-03-24,1.2430447340011597,32.84137725830078
split,1,2020-03-25,1.2567158937454224,34.503013610839844
split,1,2020-03-26,1.2707329988479614,36.32731246948242
split,1,2020-03-27,1.2850900888442993,38.33597183227539
split,1,2020-03-28,1.299776315689087,40.55455017089844
split,1,2020-03-29,1.3147796392440796,43.012245178222656
split,1,2020-03-30,1.3300814628601074,45.74301528930664
split,1,2020-03-31,1.3456593751907349,48.78630828857422
split,1,2020-04-01,1.3614840507507324,52.18803024291992
split,1,2020-04-02,1.3775206804275513,56.00151443481445
split,1,2020-04-03,1.3937255144119263,60.28880310058594
split,1,2020-04-04,1.4100446701049805,65.12216186523438
split,1,2020-04-05,1.4264153242111206,70.58545684814453
split,1,2020-04-06,1.4427603483200073,76.77645874023438
split,1,2020-04-07,1.458989143371582,83.80854034423828
split,1,2020-04-08,1.4749925136566162,91.812744140625
split,1,2020-04-09,1.4906435012817383,100.94009399414062
split,1,2020-04-10,1.5057902336120605,111.364501953125
split,1,2020-04-11,1.5202559232711792,123.28378295898438
split,1,2020-04-12,1.5338317155838013,136.9215545654297
split,1,2020-04-13,1.5462747812271118,152.52764892578125
split,1,2020-04-14,1.55730140209198,170.37734985351562
split,1,2020-04-15,1.5665819644927979,190.76708984375
split,1,2020-04-16,1.573734164237976,214.0070343017578
split,1,2020-04-17,1.5783153772354126,240.4079132080078
split,1,2020-04-18,1.5798157453536987,270.26202392578125
split,1,2020-04-19,1.5776499509811401,303.8118896484375
split,1,2020-04-20,1.5711462497711182,341.2098693847656
split,1,2020-04-21,1.5595414638519287,382.4635009765625
split,1,2020-04-22,1.5419753789901733,427.36468505859375
split,1,2020-04-23,1.517492651939392,475.41058349609375
split,1,2020-04-24,1.485063910484314,525.7132568359375
split,1,2020-04-25,1.4436330795288086,576.9212036132812
split,1,2020-04-26,1.3922094106674194,627.1626586914062
split,1,2020-04-27,1.3300328254699707,674.0489501953125
split,1,2020-04-28,1.2568238973617554,714.7711791992188
split,1,2020-04-29,1.1731187105178833,746.3184204101562
split,1,2020-04-30,1.0806775093078613,765.8378295898438
split,1,2020-05-01,0.9829217195510864,771.1192016601562
split,1,2020-05-02,0.8855978846549988,761.1724243164062
split,1,2020-05-03,0.7987681031227112,736.92431640625
split,1,2020-05-04,0.7449128031730652,702.41796875
split,1,2020-05-05,0.7907440066337585,667.973876953125
split,1,2020-05-06,1.146430253982544,659.5350341796875
split,1,2020-05-07,2.15165638923645,742.830810546875
split,1,2020-05-08,3.180147886276245,1049.2801513671875
split,1,2020-05-09,2.8193297386169434,1612.1982421875
split,1,2020-05-10,1.520728588104248,2037.9033203125
split,1,2020-05-11,0.583032488822937,2041.208984375
split,1,2020-05-12,0.08417890220880508,1774.500732421875
split,1,2020-05-13,1.6813868569443002e-05,1434.9581298828125
split,1,2020-05-14,0.0003149195108562708,1131.695068359375
split,1,2020-05-15,0.0306306891143322,905.6937866210938
split,1,2020-05-16,0.20743383467197418,757.3208618164062
split,1,2020-05-17,0.5029357671737671,670.2447509765625
split,1,2020-05-18,0.7832014560699463,626.5242309570312
split,1,2020-05-19,0.9823660850524902,612.1417846679688
split,1,2020-05-20,1.1067527532577515,617.4136962890625
split,1,2020-05-21,1.1804912090301514,635.891845703125
split,1,2020-05-22,1.2226842641830444,663.2584838867188
split,1,2020-05-23,1.2451262474060059,696.5497436523438
split,1,2020-05-24,1.2546812295913696,733.6632080078125
split,1,2020-05-25,1.2554357051849365,773.0587768554688
split,1,2020-05-26,1.2499982118606567,813.5778198242188
split,1,2020-05-27,1.2401835918426514,854.3339233398438
split,1,2020-05-28,1.2273582220077515,894.6378173828125
split,1,2020-05-29,1.2125996351242065,933.956787109375
split,1,2020-05-30,1.196772813796997,971.87939453125
split,1,2020-05-31,1.180564522743225,1008.0941772460938
split,1,2020-06-01,1.1645050048828125,1042.3709716796875
split,1,2020-06-02,1.1489884853363037,1074.548095703125
split,1,2020-06-03,1.1342905759811401,1104.5201416015625
split,1,2020-06-04,1.1205871105194092,1132.22998046875
split,1,2020-06-05,1.1079765558242798,1157.6575927734375
split,1,2020-06-06,1.096494436264038,1180.814208984375
split,1,2020-06-07,1.086133360862732,1201.7393798828125
split,1,2020-06-08,1.076852798461914,1220.48876953125
split,1,2020-06-09,1.0685911178588867,1237.135498046875
