country,method,origin,seed,mase_sparse,mase_dense,mase_gap,mase_gap_pct,regime
ghana,pinn_split,45,1,7.761420589684457,6.381182775675356,1.3802378140091012,21.629811627876823,mask
ghana,pinn_split,45,2,7.744346240016717,6.349097207711636,1.395249032305081,21.97555001379419,mask
ghana,pinn_split,45,3,7.919047692752188,6.273481926580301,1.6455657661718872,26.230501425368598,mask
ghana,pinn_split,60,1,10.582199302543032,8.059922308813304,2.5222769937297276,31.294060874156155,mask
ghana,pinn_split,60,2,10.568929624197407,8.080307699594705,2.488621924602702,30.798603433474785,mask
ghana,pinn_split,60,3,10.814315081795462,8.189539663701394,2.6247754180940674,32.05034136079583,mask
ghana,pinn_split,75,1,3.8848846323030792,1.229723921779535,2.6551607105235444,215.9151874252603,mask
ghana,pinn_split,75,2,4.153204767692039,2.030148790247584,2.1230559774444555,104.5763733004782,mask
ghana,pinn_split,75,3,1.9729772007512665,1.2725536241822375,0.700423576569029,55.04079067938154,mask
ghana,pinn_split,90,1,2.6761795859653894,3.0330990418560813,-0.35691945589069185,-11.767484377044205,mask
ghana,pinn_split,90,2,2.53351841974379,3.500372273236464,-0.9668538534926743,-27.621457891354957,mask
ghana,pinn_split,90,3,2.460428127440317,2.67306131935148,-0.21263319191116326,-7.95466944105685,mask
ghana,pinn_split,75,1,1.5265063388264162,1.229723921779535,0.29678241704688113,24.13406877678747,weekly
ghana,pinn_split,75,2,1.61725109537949,2.030148790247584,-0.4128976948680938,-20.338297215040058,weekly
ghana,pinn_split,75,3,1.5963169904935437,1.2725536241822375,0.3237633663113062,25.44202147232589,weekly
ghana,pinn_split,90,1,2.046379707923128,3.0330990418560813,-0.9867193339329532,-32.53172152694157,weekly
ghana,pinn_split,90,2,2.0035310621827587,3.500372273236464,-1.4968412110537055,-42.76234337982907,weekly
ghana,pinn_split,90,3,2.150675936529684,2.67306131935148,-0.5223853828217959,-19.542588830267967,weekly
italy_primary,pinn_split,75,1,1.6812784263581149,0.6463303862823238,1.034948040075791,160.12678067463088,weekly
italy_primary,pinn_split,75,2,1.8012648167473295,0.5057062900071709,1.2955585267401586,256.187939984252,weekly
italy_primary,pinn_split,75,3,1.5022192524081968,0.5270061492351078,0.975213103173089,185.04776549353454,weekly
italy_primary,pinn_split,45,1,1.5912862993152408,3.5004664857917662,-1.9091801864765254,-54.540736048346716,sparse20
italy_primary,pinn_split,45,2,1.520883018307367,4.935797655693764,-3.4149146373863974,-69.18668218594965,sparse20
italy_primary,pinn_split,45,3,3.214993156659652,2.942802762595804,0.27219039406384793,9.249359064205604,sparse20
italy_primary,pinn_split,60,1,4.741860521391415,2.649181852418968,2.0926786689724475,78.99339439690117,sparse20
italy_primary,pinn_split,60,2,2.8618878906464325,2.116543534610164,0.7453443560362683,35.21516774156737,sparse20
italy_primary,pinn_split,60,3,3.533266933174393,2.1386657901624444,1.3946011430119487,65.20893303792083,sparse20
italy_primary,pinn_split,75,1,0.5429401945791266,0.6463303862823238,-0.10339019170319719,-15.99649249014811,sparse20
italy_primary,pinn_split,75,2,0.5056444009879857,0.5057062900071709,-6.188901918524614e-05,-0.012238135140531582,sparse20
italy_primary,pinn_split,75,3,0.5224190086646111,0.5270061492351078,-0.004587140570496695,-0.8704149993609053,sparse20
italy_primary,pinn_split,45,1,2.1779250003926376,3.5004664857917662,-1.3225414853991286,-37.781863953483466,sparse30
italy_primary,pinn_split,45,2,1.9182109662934,4.935797655693764,-3.017586689400364,-61.136758430917055,sparse30
italy_primary,pinn_split,45,3,2.2572123048592787,2.942802762595804,-0.6855904577365255,-23.29719362951039,sparse30
italy_primary,pinn_split,60,1,3.092289824276584,2.649181852418968,0.4431079718576161,16.7262195101108,sparse30
italy_primary,pinn_split,60,2,2.249383533568115,2.116543534610164,0.13283999895795073,6.276270569715349,sparse30
italy_primary,pinn_split,60,3,2.4296177950434785,2.1386657901624444,0.2909520048810341,13.604369893574376,sparse30
italy_primary,pinn_split,75,1,0.5111491429364797,0.6463303862823238,-0.13518124334584403,-20.915192324996998,sparse30
italy_primary,pinn_split,75,2,0.5423110670264708,0.5057062900071709,0.03660477701929987,7.238347187412048,sparse30
italy_primary,pinn_split,75,3,0.5241973195857967,0.5270061492351078,-0.002808829649311062,-0.5329785341950513,sparse30
italy_primary,pinn_split,45,1,2.190164624625686,3.5004664857917662,-1.3103018611660802,-37.43220700682425,sparse40
italy_primary,pinn_split,45,2,2.720535624306341,4.935797655693764,-2.215262031387423,-44.88154065294743,sparse40
italy_primary,pinn_split,45,3,2.0816584981755457,2.942802762595804,-0.8611442644202585,-29.262724480408448,sparse40
italy_primary,pinn_split,60,1,4.289872580556308,2.649181852418968,1.64069072813734,61.931978230910254,sparse40
italy_primary,pinn_split,60,2,3.2991174904489964,2.116543534610164,1.1825739558388322,55.87288598137173,sparse40
italy_primary,pinn_split,60,3,3.6693485458558777,2.1386657901624444,1.5306827556934333,71.57185394437757,sparse40
italy_primary,pinn_split,75,1,0.6257017450564166,0.6463303862823238,-0.02062864122590713,-3.1916557945793884,sparse40
italy_primary,pinn_split,75,2,0.5442460127374207,0.5057062900071709,0.03853972273024975,7.620969620469473,sparse40
italy_primary,pinn_split,75,3,1.0478807426759968,0.5270061492351078,0.520874593440889,98.83653050289489,sparse40
